session_id,device,channel,viewed_product,added_to_cart,reached_checkout,completed_purchase
SESS_00264,Mobile,Social Media,0,0,0,0
SESS_00265,Mobile,Paid Ads,1,1,0,0
SESS_00266,Mobile,Direct,1,1,1,1
SESS_00267,Mobile,Organic Search,1,1,0,0
SESS_00268,Mobile,Organic Search,1,1,0,0
SESS_00269,Desktop,Organic Search,1,0,0,0
SESS_00270,Desktop,Organic Search,1,0,0,0
SESS_00271,Mobile,Organic Search,1,1,0,0
SESS_00272,Mobile,Organic Search,1,1,1,0
SESS_00273,Mobile,Social Media,1,1,0,0
SESS_00274,Tablet,Direct,0,0,0,0
SESS_00275,Mobile,Social Media,1,1,0,0
SESS_00276,Mobile,Organic Search,1,0,0,0
SESS_00277,Mobile,Paid Ads,1,1,1,1
SESS_00278,Mobile,Paid Ads,1,0,0,0
SESS_00279,Mobile,Organic Search,1,1,0,0
SESS_00280,Mobile,Organic Search,1,1,0,0
SESS_00281,Mobile,Organic Search,1,1,0,0
SESS_00282,Desktop,Organic Search,0,0,0,0
SESS_00283,Desktop,Social Media,1,1,1,1
SESS_00284,Desktop,Paid Ads,1,1,1,1
SESS_00285,Mobile,Direct,1,0,0,0
SESS_00286,Desktop,Direct,0,0,0,0
SESS_00287,Desktop,Organic Search,0,0,0,0
SESS_00288,Mobile,Direct,1,0,0,0
SESS_00289,Desktop,Paid Ads,1,1,1,1
SESS_00290,Mobile,Direct,1,0,0,0
SESS_00291,Desktop,Organic Search,1,1,0,0
SESS_00292,Desktop,Direct,1,1,0,0
SESS_00293,Mobile,Organic Search,1,1,1,0
SESS_00294,Desktop,Paid Ads,0,0,0,0
SESS_00295,Desktop,Organic Search,1,0,0,0
SESS_00296,Mobile,Social Media,1,0,0,0
SESS_00297,Mobile,Social Media,1,1,1,1
SESS_00298,Desktop,Organic Search,1,0,0,0
SESS_00299,Mobile,Direct,0,0,0,0
SESS_00300,Desktop,Paid Ads,1,1,0,0
SESS_00301,Desktop,Social Media,1,0,0,0
SESS_00302,Mobile,Paid Ads,1,1,0,0
SESS_00303,Mobile,Direct,1,1,0,0
SESS_00304,Mobile,Social Media,1,1,0,0
SESS_00305,Mobile,Organic Search,1,0,0,0
SESS_00306,Tablet,Paid Ads,1,1,1,0
SESS_00307,Mobile,Social Media,1,1,0,0
SESS_00308,Desktop,Direct,1,0,0,0
SESS_00309,Mobile,Social Media,1,1,1,1
SESS_00310,Desktop,Organic Search,1,1,0,0
SESS_00311,Desktop,Social Media,1,0,0,0
SESS_00312,Desktop,Organic Search,1,0,0,0
SESS_00313,Desktop,Social Media,1,1,1,1
SESS_00314,Tablet,Direct,0,0,0,0
SESS_00315,Mobile,Paid Ads,1,1,0,0
SESS_00316,Mobile,Organic Search,1,0,0,0
SESS_00317,Desktop,Organic Search,1,1,0,0
SESS_00318,Desktop,Direct,1,1,1,1
SESS_00319,Desktop,Paid Ads,1,1,1,1
SESS_00320,Desktop,Direct,0,0,0,0
SESS_00321,Mobile,Organic Search,1,0,0,0
SESS_00322,Mobile,Organic Search,1,0,0,0
SESS_00323,Mobile,Social Media,1,0,0,0
SESS_00324,Desktop,Direct,0,0,0,0
SESS_00325,Tablet,Direct,1,1,1,1
SESS_00326,Mobile,Direct,1,0,0,0
SESS_00327,Mobile,Organic Search,1,0,0,0
SESS_00328,Mobile,Direct,1,0,0,0
SESS_00329,Desktop,Organic Search,1,1,0,0
SESS_00330,Desktop,Social Media,1,1,0,0
SESS_00331,Desktop,Paid Ads,1,1,0,0
SESS_00332,Mobile,Organic Search,1,1,0,0
SESS_00333,Desktop,Direct,1,1,1,1
SESS_00334,Desktop,Paid Ads,1,1,1,1
SESS_00335,Desktop,Direct,1,0,0,0
SESS_00336,Desktop,Paid Ads,1,1,1,0
SESS_00337,Mobile,Organic Search,1,1,0,0
SESS_00338,Mobile,Organic Search,1,0,0,0
SESS_00339,Desktop,Organic Search,1,1,0,0
SESS_00340,Desktop,Social Media,0,0,0,0
SESS_00341,Desktop,Direct,0,0,0,0
SESS_00342,Desktop,Organic Search,1,0,0,0
SESS_00343,Desktop,Direct,1,0,0,0
SESS_00344,Desktop,Paid Ads,1,0,0,0
SESS_00345,Desktop,Social Media,0,0,0,0
SESS_00346,Mobile,Organic Search,1,1,1,1
SESS_00347,Mobile,Organic Search,1,1,0,0
SESS_00348,Desktop,Social Media,1,0,0,0
SESS_00349,Desktop,Organic Search,0,0,0,0
SESS_00350,Mobile,Organic Search,1,0,0,0
SESS_00351,Mobile,Organic Search,1,1,0,0
SESS_00352,Mobile,Paid Ads,1,0,0,0
SESS_00353,Mobile,Direct,1,0,0,0
SESS_00354,Desktop,Paid Ads,1,0,0,0
SESS_00355,Desktop,Organic Search,0,0,0,0
SESS_00356,Mobile,Direct,0,0,0,0
SESS_00357,Desktop,Paid Ads,1,1,1,1
SESS_00358,Mobile,Organic Search,1,1,0,0
SESS_00359,Tablet,Direct,1,0,0,0
SESS_00360,Mobile,Paid Ads,1,1,0,0
SESS_00361,Desktop,Social Media,0,0,0,0
SESS_00362,Mobile,Social Media,1,1,0,0
SESS_00363,Desktop,Social Media,1,1,1,1
SESS_00364,Mobile,Social Media,0,0,0,0
SESS_00365,Tablet,Direct,1,1,1,1
SESS_00366,Desktop,Organic Search,1,1,0,0
SESS_00367,Tablet,Paid Ads,0,0,0,0
SESS_00368,Tablet,Organic Search,1,0,0,0
SESS_00369,Desktop,Paid Ads,1,0,0,0
SESS_00370,Desktop,Paid Ads,1,0,0,0
SESS_00371,Desktop,Organic Search,1,0,0,0
SESS_00372,Desktop,Social Media,1,1,0,0
SESS_00373,Desktop,Organic Search,1,0,0,0
SESS_00374,Mobile,Organic Search,1,0,0,0
SESS_00375,Desktop,Social Media,1,1,1,1
SESS_00376,Desktop,Organic Search,1,0,0,0
SESS_00377,Mobile,Direct,1,1,1,1
SESS_00378,Desktop,Organic Search,0,0,0,0
SESS_00379,Mobile,Paid Ads,1,1,1,1
SESS_00380,Desktop,Paid Ads,1,1,1,0
SESS_00381,Desktop,Paid Ads,1,1,1,0
SESS_00382,Mobile,Paid Ads,1,1,0,0
SESS_00383,Mobile,Organic Search,1,0,0,0
SESS_00384,Mobile,Social Media,1,0,0,0
SESS_00385,Mobile,Social Media,1,1,1,0
SESS_00386,Mobile,Direct,1,1,0,0
SESS_00387,Desktop,Direct,0,0,0,0
SESS_00388,Desktop,Social Media,1,0,0,0
SESS_00389,Mobile,Social Media,0,0,0,0
SESS_00390,Mobile,Social Media,1,0,0,0
SESS_00391,Tablet,Social Media,1,0,0,0
SESS_00392,Desktop,Organic Search,1,0,0,0
SESS_00393,Desktop,Paid Ads,1,0,0,0
SESS_00394,Mobile,Organic Search,0,0,0,0
SESS_00395,Desktop,Direct,1,0,0,0
SESS_00396,Tablet,Paid Ads,1,0,0,0
SESS_00397,Mobile,Organic Search,1,0,0,0
SESS_00398,Desktop,Paid Ads,1,0,0,0
SESS_00399,Mobile,Organic Search,1,0,0,0
SESS_00400,Mobile,Organic Search,1,0,0,0
SESS_00401,Desktop,Direct,1,0,0,0
SESS_00402,Tablet,Organic Search,1,0,0,0
SESS_00403,Mobile,Direct,0,0,0,0
SESS_00404,Mobile,Direct,1,1,0,0
SESS_00405,Desktop,Social Media,1,0,0,0
SESS_00406,Mobile,Direct,1,1,0,0
SESS_00407,Desktop,Organic Search,0,0,0,0
SESS_00408,Desktop,Organic Search,1,1,1,0
SESS_00409,Tablet,Paid Ads,1,0,0,0
SESS_00410,Desktop,Direct,1,0,0,0
SESS_00411,Desktop,Paid Ads,1,1,1,1
SESS_00412,Tablet,Paid Ads,1,1,1,1
SESS_00413,Tablet,Direct,1,0,0,0
SESS_00414,Mobile,Organic Search,1,0,0,0
SESS_00415,Mobile,Social Media,1,1,1,1
SESS_00416,Desktop,Paid Ads,1,1,1,1
SESS_00417,Desktop,Paid Ads,1,0,0,0
SESS_00418,Desktop,Direct,0,0,0,0
SESS_00419,Mobile,Organic Search,0,0,0,0
SESS_00420,Mobile,Organic Search,1,0,0,0
SESS_00421,Mobile,Direct,1,0,0,0
SESS_00422,Mobile,Organic Search,1,1,0,0
SESS_00423,Desktop,Paid Ads,1,1,1,1
SESS_00424,Desktop,Organic Search,1,0,0,0
SESS_00425,Desktop,Paid Ads,0,0,0,0
SESS_00426,Mobile,Paid Ads,1,0,0,0
SESS_00427,Desktop,Organic Search,1,0,0,0
SESS_00428,Mobile,Paid Ads,1,0,0,0
SESS_00429,Desktop,Direct,1,0,0,0
SESS_00430,Desktop,Paid Ads,1,1,1,0
SESS_00431,Desktop,Direct,0,0,0,0
SESS_00432,Mobile,Direct,1,0,0,0
SESS_00433,Mobile,Paid Ads,1,1,1,1
SESS_00434,Desktop,Organic Search,1,1,0,0
SESS_00435,Desktop,Social Media,1,0,0,0
SESS_00436,Mobile,Organic Search,1,0,0,0
SESS_00437,Desktop,Organic Search,1,1,1,1
SESS_00438,Mobile,Organic Search,1,0,0,0
SESS_00439,Mobile,Organic Search,1,1,0,0
SESS_00440,Desktop,Organic Search,1,1,1,1
SESS_00441,Desktop,Paid Ads,1,0,0,0
SESS_00442,Tablet,Paid Ads,1,0,0,0
SESS_00443,Desktop,Social Media,1,1,0,0
SESS_00444,Desktop,Social Media,1,1,1,1
SESS_00445,Mobile,Organic Search,1,1,1,1
SESS_00446,Tablet,Paid Ads,1,0,0,0
SESS_00447,Tablet,Organic Search,1,0,0,0
SESS_00448,Mobile,Paid Ads,1,1,0,0
SESS_00449,Desktop,Organic Search,1,1,0,0
SESS_00450,Desktop,Social Media,0,0,0,0
SESS_00451,Mobile,Paid Ads,0,0,0,0
SESS_00452,Mobile,Social Media,0,0,0,0
SESS_00453,Desktop,Paid Ads,1,1,0,0
SESS_00454,Tablet,Social Media,1,0,0,0
SESS_00455,Desktop,Paid Ads,1,1,0,0
SESS_00456,Desktop,Organic Search,1,1,1,1
SESS_00457,Desktop,Organic Search,1,1,1,1
SESS_00458,Desktop,Organic Search,1,0,0,0
SESS_00459,Desktop,Direct,1,0,0,0
SESS_00460,Desktop,Organic Search,1,0,0,0
SESS_00461,Desktop,Organic Search,1,0,0,0
SESS_00462,Mobile,Organic Search,1,1,0,0
SESS_00463,Mobile,Social Media,1,1,1,1
SESS_00464,Mobile,Social Media,1,0,0,0
SESS_00465,Tablet,Direct,0,0,0,0
SESS_00466,Desktop,Organic Search,1,0,0,0
SESS_00467,Desktop,Organic Search,1,1,0,0
SESS_00468,Mobile,Organic Search,0,0,0,0
SESS_00469,Desktop,Paid Ads,1,1,1,0
SESS_00470,Tablet,Organic Search,1,0,0,0
SESS_00471,Desktop,Organic Search,1,0,0,0
SESS_00472,Tablet,Social Media,1,1,0,0
SESS_00473,Desktop,Paid Ads,1,1,1,1
SESS_00474,Mobile,Direct,1,1,0,0
SESS_00475,Mobile,Paid Ads,1,1,1,1
SESS_00476,Tablet,Organic Search,1,0,0,0
SESS_00477,Desktop,Organic Search,1,0,0,0
SESS_00478,Mobile,Direct,1,0,0,0
SESS_00479,Tablet,Organic Search,1,1,1,0
SESS_00480,Mobile,Organic Search,1,0,0,0
SESS_00481,Mobile,Organic Search,1,0,0,0
SESS_00482,Mobile,Paid Ads,1,1,0,0
SESS_00483,Desktop,Paid Ads,0,0,0,0
SESS_00484,Mobile,Direct,1,0,0,0
SESS_00485,Mobile,Direct,1,1,0,0
SESS_00486,Tablet,Paid Ads,1,0,0,0
SESS_00487,Desktop,Direct,1,0,0,0
SESS_00488,Desktop,Social Media,1,0,0,0
SESS_00489,Tablet,Paid Ads,1,1,1,1
SESS_00490,Mobile,Organic Search,1,1,0,0
SESS_00491,Desktop,Direct,0,0,0,0
SESS_00492,Mobile,Direct,1,0,0,0
SESS_00493,Desktop,Direct,1,1,1,1
SESS_00494,Desktop,Direct,1,0,0,0
SESS_00495,Desktop,Paid Ads,1,0,0,0
SESS_00496,Desktop,Direct,0,0,0,0
SESS_00497,Mobile,Organic Search,1,0,0,0
SESS_00498,Desktop,Organic Search,1,1,0,0
SESS_00499,Tablet,Organic Search,1,1,1,1
SESS_00500,Tablet,Direct,1,1,1,1
SESS_00501,Mobile,Direct,1,0,0,0
SESS_00502,Mobile,Direct,1,0,0,0
SESS_00503,Desktop,Paid Ads,1,1,1,1
SESS_00504,Mobile,Organic Search,1,0,0,0
SESS_00505,Mobile,Paid Ads,1,0,0,0
SESS_00506,Desktop,Organic Search,1,1,1,1
SESS_00507,Tablet,Organic Search,1,1,1,1
SESS_00508,Mobile,Organic Search,1,1,0,0
SESS_00509,Tablet,Paid Ads,1,0,0,0
SESS_00510,Mobile,Organic Search,1,0,0,0
SESS_00511,Mobile,Direct,1,1,0,0
SESS_00512,Desktop,Organic Search,1,1,1,0
SESS_00513,Tablet,Organic Search,0,0,0,0
SESS_00514,Mobile,Organic Search,1,1,0,0
SESS_00515,Desktop,Paid Ads,1,0,0,0
SESS_00516,Desktop,Organic Search,1,1,0,0
SESS_00517,Desktop,Paid Ads,1,0,0,0
SESS_00518,Mobile,Organic Search,0,0,0,0
SESS_00519,Tablet,Paid Ads,0,0,0,0
SESS_00520,Desktop,Paid Ads,1,1,0,0
SESS_00521,Mobile,Organic Search,1,1,0,0
SESS_00522,Desktop,Paid Ads,1,1,1,1
SESS_00523,Tablet,Social Media,1,0,0,0
SESS_00524,Mobile,Organic Search,1,0,0,0
SESS_00525,Mobile,Organic Search,1,1,0,0
SESS_00526,Desktop,Paid Ads,1,1,1,1
SESS_00527,Desktop,Organic Search,0,0,0,0
SESS_00528,Desktop,Direct,0,0,0,0
SESS_00529,Desktop,Social Media,0,0,0,0
SESS_00530,Mobile,Direct,1,1,0,0
SESS_00531,Mobile,Paid Ads,1,0,0,0
SESS_00532,Tablet,Paid Ads,1,0,0,0
SESS_00533,Tablet,Social Media,1,1,1,1
SESS_00534,Mobile,Direct,1,0,0,0
SESS_00535,Mobile,Organic Search,1,0,0,0
SESS_00536,Tablet,Organic Search,1,1,1,1
SESS_00537,Mobile,Organic Search,1,1,1,0
SESS_00538,Desktop,Direct,1,1,1,1
SESS_00539,Desktop,Organic Search,1,0,0,0
SESS_00540,Desktop,Organic Search,1,1,0,0
SESS_00541,Tablet,Direct,1,0,0,0
SESS_00542,Mobile,Paid Ads,1,0,0,0
SESS_00543,Desktop,Paid Ads,0,0,0,0
